word,valence,arousal,dominance,n_collapsed
aardvark,6.26,2.41,4.27,1
abalone,5.3,2.65,4.95,1
abandon,2.84,3.73,3.32,1
abandonment,2.63,4.95,2.64,1
abbey,5.85,2.2,5.0,1
abdomen,5.43,3.68,5.15,1
abdominal,4.48,3.5,5.32,1
abduct,2.42,5.9,2.75,1
abduction,2.05,5.33,3.02,1
abide,5.545,3.425,5.965,1
ability,7.0,4.85,6.55,1
abject,4.0,3.94,4.35,1
ablaze,5.15,6.75,4.58,1
able,6.64,3.38,6.17,1
abnormal,3.53,4.48,4.7,1
abnormality,3.05,5.0,3.96,1
abode,5.28,2.9,5.05,1
abolish,3.84,4.18,4.65,1
abominable,4.05,5.45,4.62,1
abomination,2.5,5.9,3.8,1
abort,3.1,5.8,3.38,1
abortion,2.58,5.43,4.73,1
abracadabra,5.11,5.27,4.96,1
abrasive,4.26,6.1,4.94,1
abreast,4.62,4.61,5.19,1
abrupt,3.28,5.23,3.75,1
abscess,2.79,4.0,3.95,1
absence,3.86,4.3,4.24,1
absent,4.1,3.72,4.21,1
absinthe,3.53,3.7,3.95,1
absolute,5.43,3.48,5.58,1
absolution,6.58,3.38,5.75,1
absolve,4.58,3.53,4.82,1
absorb,5.5,4.27,5.62,1
abstain,4.4,3.1,6.08,1
abstinence,3.43,3.15,5.64,1
abstract,5.25,3.96,5.53,1
absurd,4.45,4.02,5.06,1
absurdity,4.06,4.7,5.37,1
abundance,6.67,4.72,5.66,1
abundant,7.55,4.21,5.81,1
abuse,1.53,6.21,2.9,1
abusive,2.05,5.27,3.58,1
abysmal,3.45,3.91,3.76,1
abyss,3.9,4.85,4.0,1
academic,6.61,3.32,6.21,1
academy,5.32,3.77,5.38,1
accelerant,4.59,4.81,6.04,1
accelerate,6.154999999999999,5.395,6.220000000000001,1
acceleration,6.19,6.73,5.76,1
accelerator,5.63,5.0,6.65,1
accent,6.48,4.95,5.36,1
accept,6.39,2.8,5.94,1
acceptable,6.59,3.65,6.58,1
acceptance,6.84,4.3,6.49,1
access,6.68,5.3,6.89,1
accessible,6.68,3.2,6.58,1
accessory,5.35,4.22,5.83,1
accident,2.55,4.93,3.0,1
accidental,3.46,4.0,3.41,1
acclaim,6.1,3.95,5.77,1
accommodate,6.35,3.0,6.27,1
accommodation,6.76,4.72,6.0,1
accompany,5.47,3.85,5.63,1
accomplice,4.6,4.5,5.2,1
accomplish,7.45,5.16,7.27,1
accomplishment,8.05,4.96,6.5,1
accord,6.38,2.85,5.64,1
accordion,5.26,2.94,5.21,1
account,4.904999999999999,3.72,4.77,1
accountability,4.89,3.7,6.55,1
accountable,5.7,4.2,5.57,1
accountant,5.19,3.81,5.72,1
accumulate,6.33,2.73,6.15,1
accuracy,6.32,3.33,6.74,1
accurate,7.42,4.35,6.47,1
accursed,3.21,5.33,4.13,1
accusation,3.38,5.48,3.62,1
accuse,2.68,5.32,4.0,1
ace,6.37,4.64,6.61,1
acetylene,4.11,3.67,4.7,1
ache,3.27,4.3,4.0,1
achieve,7.75,4.7,6.61,1
achievement,7.28,5.57,7.17,1
achy,3.15,4.48,4.62,1
acid,3.26,4.77,4.26,1
acknowledge,6.43,3.26,6.11,1
acknowledgement,6.53,3.3,6.71,1
acne,2.18,4.47,3.44,1
acorn,5.85,4.42,4.77,1
acoustic,6.715,3.595,5.825,1
acquaintance,5.58,3.24,5.29,1
acquire,5.5,4.86,7.0,1
acquisition,5.0,4.36,5.93,1
acquit,5.6,4.56,5.45,1
acquittal,6.19,4.95,5.03,1
acre,5.53,2.73,4.94,1
acreage,5.25,3.74,5.52,1
acrobat,6.0,4.9,5.42,1
acrylic,5.52,3.73,5.42,1
act,5.64,4.19,6.11,1
action,6.0,6.19,6.17,1
action figure,6.18,4.65,6.71,1
activate,5.7,3.78,6.28,1
